Hint	Phrase
AROUND THE HOUSE	OLD FAMILY PHOTOS
AROUND THE HOUSE	WORKBENCH IN THE GARAGE
AROUND THE HOUSE	FRAGILE VASE
EVENT	AMAZING JOURNEY
EVENT	MORNING BRIEFING
EVENT	GROUNDBREAKING DISCOVERY
EVENT	HUGE BASH
FOOD & DRINK	MANGO AND KIWI
FOOD & DRINK	BARBECUE SAUCE
FOOD & DRINK	CUP OF WARM BROTH
FOOD & DRINK	FUDGE POPSICLE
FOOD & DRINK	BOWL OF APPLES
FUN & GAMES	A WORD PUZZLE
FUN & GAMES	BOBBING FOR APPLES
IN THE KITCHEN	FOIL AND PLASTIC WRAP
IN THE KITCHEN	PORCELAIN BAKEWARE
IN THE KITCHEN	PAIR OF CHOPSTICKS
LIVING THING	A BLOOMING ORCHID
LIVING THING	A WILD BUFFALO
LIVING THINGS	PIGEONS AND DOVES
LIVING THINGS	CUDDLY DOGS
OCCUPATION	GEOLOGIST
PEOPLE	GOOD BUDDIES
PERSON	POTENTIAL HOMEBUYER
PERSON	MY WACKY NEIGHBOR
PHRASE	GIVE HIM SOME ADVICE
PHRASE	FACE THE FACT
PHRASE	A HAVE A VAGUE IDEA
PHRASE	OUT OF FASHION
PHRASE	DON'T MOVE A MUSCLE
PHRASE	BASED ON AVAILABILITY
PHRASE	I AM OVERJOYED
PHRASE	FOCUS YOUR MIND
PHRASE	JOT DOWN YOUR GOALS
PHRASE	YOUNG AND BRASH
PHRASE	BEYOND ALL DOUBT
PLACE	MY HUMBLE ABODE
PLACE	LOCAL HOBBY SHOP
PLACE	POPULAR BAKERY
SHOW BIZ	MOVIE MAGIC
THING	YOUR BACK POCKET
THING	A USEFUL DEVICE
THING	FABULOUS BARGAIN
WHAT ARE YOU DOING?	LOOKING FOR A QUICK FIX
WHAT ARE YOU DOING?	TAKING BOLD ACTION
WHAT ARE YOU DOING?	WEIGHING THE OPTIONS
WHAT ARE YOU DOING?	VOICING AN OPINION
WHAT ARE YOU DOING?	SHOPPING FOR FOOD
WHAT ARE YOU DOING?	JOINING A BAND
WHAT ARE YOU DOING?	MAKING IT HAPPEN
WHAT ARE YOU WEARING?	DARK GRAY BLAZER
WHAT ARE YOU WEARING?	WARM JACKET
WHAT ARE YOU WEARING?	BEIGE SLACKS
